ModuleId,CourseId,Title,Description,ProgressStatusEnum
150,46,Events,Understand how to handle events in JavaScript.,1
149,46,DOM Manipulation,Basics of interacting with and manipulating the Document Object Model (DOM).,1
148,46,Functions,Delve into functions and how to use them in JavaScript.,1
147,46,Control Flow,Understand control flow structures like conditionals and loops.,1
146,46,Working with Data in JavaScript,"Cover working with different data types, operators, and basic operations.",1
145,46,Getting Started with JavaScript,Introduction to JavaScript basics and setup,2
144,45,Testing and Debugging,Enhance code reliability with comprehensive testing and debugging.,1
143,45,Concurrency and Parallelism,Master concurrency and parallelism in Python.,1
142,45,Data Science and Machine Learning,Explore data science techniques and machine learning models using Python.,1
141,45,Web Development with Flask and Django,Master web development skills with Flask and Django frameworks.,1
140,45,Data Structures and Algorithms,Enhance your problem-solving skills with in-depth knowledge of data structures and algorithms.,1
139,45,Advanced Python Concepts,"Dive deep into advanced Python syntax, structures, and programming paradigms.",2
138,44,Final Project,Apply everything you've learned in a final comprehensive project.,1
137,44,Working with Libraries,Introduction to popular Python libraries and how to use them.,1
136,44,Error Handling,Introduction to handling errors and exceptions in Python.,1
135,44,File Handling,Learn how to read from and write to files in Python.,1
134,44,Object-Oriented Programming,Introduction to object-oriented programming concepts in Python.,2
133,44,Data Structures,Understand and use various data structures in Python.,1
132,44,Functions and Modules,Learn how to write reusable code using functions and import external modules.,1
131,44,Control Structures,Understand and apply control structures like conditionals and loops.,1
